"Species_Name","collision_freq"
"Ammodramus henslowii",9
"Ammodramus leconteii",25
"Ammodramus nelsoni",55
"Ammodramus savannarum",106
"Cardellina canadensis",241
"Cardellina pusilla",185
"Catharus fuscescens",727
"Catharus guttatus",3729
"Catharus minimus",822
"Catharus ustulatus",2331
"Certhia americana",2676
"Cistothorus palustris",91
"Cistothorus platensis",60
"Contopus cooperi",4
"Contopus virens",70
"Dumetella carolinensis",599
"Empidonax flaviventris",68
"Empidonax minimus",96
"Empidonax traillii",177
"Empidonax virescens",7
"Geothlypis formosa",16
"Geothlypis philadelphia",430
"Geothlypis trichas",1555
"Hylocichla mustelina",500
"Icteria virens",15
"Icterus galbula",83
"Icterus spurius",6
"Junco hyemalis",6303
"Lanius excubitor",1
"Melospiza georgiana",4910
"Melospiza lincolnii",2029
"Melospiza melodia",5124
"Mniotilta varia",620
"Myiarchus crinitus",28
"Oporornis agilis",365
"Oreothlypis celata",227
"Oreothlypis peregrina",2515
"Oreothlypis ruficapilla",1690
"Parkesia motacilla",15
"Parkesia noveboracensis",916
"Passerculus sandwichensis",274
"Passerella iliaca",2443
"Passerina caerulea",1
"Passerina cyanea",725
"Pheucticus ludovicianus",397
"Pipilo erythrophthalmus",82
"Piranga olivacea",127
"Piranga rubra",9
"Polioptila caerulea",6
"Pooecetes gramineus",10
"Protonotaria citrea",6
"Regulus calendula",416
"Regulus satrapa",1029
"Sayornis phoebe",24
"Seiurus aurocapilla",4580
"Setophaga americana",59
"Setophaga caerulescens",183
"Setophaga castanea",287
"Setophaga cerulea",3
"Setophaga citrina",5
"Setophaga coronata",887
"Setophaga fusca",201
"Setophaga magnolia",1224
"Setophaga palmarum",694
"Setophaga pensylvanica",303
"Setophaga petechia",77
"Setophaga pinus",49
"Setophaga ruticilla",868
"Setophaga striata",787
"Setophaga tigrina",182
"Setophaga virens",223
"Sitta canadensis",260
"Spizella pallida",50
"Spizella passerina",68
"Spizella pusilla",325
"Spizelloides arborea",1262
"Sturnella magna",13
"Toxostoma rufum",166
"Troglodytes aedon",104
"Troglodytes hiemalis",474
"Tyrannus tyrannus",4
"Vermivora chrysoptera",53
"Vermivora cyanoptera",16
"Vireo flavifrons",12
"Vireo gilvus",2
"Vireo olivaceus",133
"Vireo philadelphicus",12
"Vireo solitarius",18
"Zonotrichia albicollis",10133
"Zonotrichia leucophrys",1090
"Zonotrichia querula",2
