x,,,trophic_level
Ammodramus nelsoni,,,Omnivore
Ammodramus henslowii,,,Omnivore
Ammodramus leconteii,,,Omnivore
Passerculus sandwichensis,,,Omnivore
Ammodramus savannarum,,,Omnivore
Catharus fuscescens,,,Carnivore
Catharus guttatus,,,Omnivore
Catharus minimus,,,Carnivore
Catharus ustulatus,,,Omnivore
Certhia americana,,,Carnivore
Cistothorus palustris,,,Carnivore
Cistothorus platensis,,,Carnivore
Contopus cooperi,,,Carnivore
Contopus virens,,,Carnivore
Setophaga caerulescens,,,Carnivore
Setophaga castanea,,,Omnivore
Setophaga cerulea,,,Carnivore
Setophaga coronata,,,Carnivore
Setophaga fusca,,,Carnivore
Setophaga magnolia,,,Carnivore
Setophaga palmarum,,,Carnivore
Setophaga pensylvanica,,,Carnivore
Setophaga petechia,,,Carnivore
Setophaga pinus,,,Carnivore
Setophaga striata,,,Carnivore
Setophaga tigrina,,,Omnivore
Setophaga virens,,,Omnivore
Dumetella carolinensis,,,Omnivore
Empidonax flaviventris,,,Carnivore
Empidonax minimus,,,Carnivore
Empidonax traillii,,,Carnivore
Empidonax virescens,,,Carnivore
Geothlypis philadelphia,,,Carnivore
Oporornis agilis,,,Carnivore
Geothlypis formosa,,,Carnivore
Geothlypis trichas,,,Carnivore
Hylocichla mustelina,,,Omnivore
Icteria virens,,,Carnivore
Icterus galbula,,,Omnivore
Icterus spurius,,,Carnivore
Junco hyemalis,,,Herbivore
Lanius excubitor,,,Carnivore
Mniotilta varia,,,Carnivore
Myiarchus crinitus,,,Omnivore
Setophaga americana,,,Carnivore
Passerina caerulea,,,Carnivore
Passerina cyanea,,,Herbivore
Pheucticus ludovicianus,,,Herbivore
Pipilo erythrophthalmus,,,Herbivore
Piranga olivacea,,,Carnivore
Piranga rubra,,,Carnivore
Polioptila caerulea,,,Carnivore
Pooecetes gramineus,,,Omnivore
Protonotaria citrea,,,Carnivore
Regulus calendula,,,Carnivore
Regulus satrapa,,,Carnivore
Sayornis phoebe,,,Carnivore
Seiurus aurocapilla,,,Carnivore
Parkesia motacilla,,,Carnivore
Parkesia noveboracensis,,,Carnivore
Setophaga ruticilla,,,Carnivore
Sitta canadensis,,,Omnivore
Spizelloides arborea,,,Omnivore
Spizella pallida,,,Omnivore
Spizella passerina,,,Omnivore
Spizella pusilla,,,Omnivore
Sturnella magna,,,Carnivore
Toxostoma rufum,,,Omnivore
Troglodytes aedon,,,Carnivore
Troglodytes hiemalis,,,Carnivore
Tyrannus tyrannus,,,Carnivore
Oreothlypis celata,,,Carnivore
Vermivora chrysoptera,,,Carnivore
Oreothlypis peregrina,,,Carnivore
Vermivora cyanoptera,,,Carnivore
Oreothlypis ruficapilla,,,Carnivore
Vireo flavifrons,,,Carnivore
Vireo gilvus,,,Carnivore
Vireo olivaceus,,,Omnivore
Vireo philadelphicus,,,Carnivore
Vireo solitarius,,,Carnivore
Cardellina canadensis,,,Carnivore
Setophaga citrina,,,Carnivore
Cardellina pusilla,,,Carnivore
Zonotrichia albicollis,,,Herbivore
Melospiza georgiana,,,Omnivore
Passerella iliaca,,,Omnivore
Zonotrichia leucophrys,,,Omnivore
Melospiza lincolnii,,,Omnivore
Melospiza melodia,,,Omnivore
Zonotrichia querula,,,Herbivore
